Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,7469.0,7,261415.0,5489715.0,1/5/2019,13:08:00,Ewallet,52283.0,4761904762.0,261415.0,91.0
226-31-3081,Giza,Naypyitaw,Normal,Female,Electronic accessories,1528.0,5,382.0,8022.0,3/8/2019,10:29:00,Cash,764.0,4761904762.0,382.0,96.0
631-41-3108,Alex,Yangon,Normal,Female,Home and lifestyle,4633.0,7,162155.0,3405255.0,3/3/2019,13:23:00,Credit card,32431.0,4761904762.0,162155.0,74.0
123-19-1176,Alex,Yangon,Member,Female,Health and beauty,5822.0,8,23288.0,489048.0,1/27/2019,20:33:00,Ewallet,46576.0,4761904762.0,23288.0,84.0
373-73-7910,Alex,Yangon,Member,Female,Sports and travel,8631.0,7,302085.0,6343785.0,2/8/2019,10:37:00,Ewallet,60417.0,4761904762.0,302085.0,53.0
699-14-3026,Giza,Naypyitaw,Member,Female,Electronic accessories,8539.0,7,298865.0,6276165.0,3/25/2019,18:30:00,Ewallet,59773.0,4761904762.0,298865.0,41.0
355-53-5943,Alex,Yangon,Member,Female,Electronic accessories,6884.0,6,20652.0,433692.0,2/25/2019,14:36:00,Ewallet,41304.0,4761904762.0,20652.0,58.0
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,7356.0,10,3678.0,77238.0,2/24/2019,11:38:00,Ewallet,7356.0,4761904762.0,3678.0,8.0
665-32-9167,Alex,Yangon,Member,Female,Health and beauty,3626.0,2,3626.0,76146.0,1/10/2019,17:15:00,Credit card,7252.0,4761904762.0,3626.0,72.0
692-92-5582,Cairo,Mandalay,Member,Female,Food and beverages,5484.0,3,8226.0,172746.0,2/20/2019,13:27:00,Credit card,16452.0,4761904762.0,8226.0,59.0
351-62-0822,Cairo,Mandalay,Member,Female,Fashion accessories,1448.0,4,2896.0,60816.0,2/6/2019,18:07:00,Ewallet,5792.0,4761904762.0,2896.0,45.0
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,2551.0,4,5102.0,107142.0,3/9/2019,17:03:00,Cash,10204.0,4761904762.0,5102.0,68.0
